PLAYER,3PTM,PTS,REB,AST,ST,BLK,TO,FGM,FGA,FTM,FTA,GP,Date
Isaac Bonga,-0.03870967741935485,0.6225806451612902,0.7387096774193548,0.8548387096774194,0.1838709677419355,-0.0774193548387097,-0.0774193548387097,0.30000000000000004,-0.009677419354838733,-0.11612903225806451,-0.1935483870967742,1.0,2022-01-13
Isaac Okoro,2.002127659574468,13.880851063829788,4.544680851063831,2.0574468085106385,0.9574468085106385,0.3,1.2,5.031914893617022,11.393617021276595,1.8148936170212766,2.2574468085106383,1.0,2022-01-13
Isaiah Hartenstein,-0.09354838709677421,8.474193548387097,4.893548387096774,2.0935483870967744,0.6064516129032257,1.1064516129032258,1.0,3.3935483870967738,5.2870967741935475,1.6806451612903224,2.4741935483870967,1.0,2022-01-13
Isaiah Jackson,0.0,1.34375,2.09375,0.0,0.59375,-0.09375,-0.03125,0.40625,0.75,0.53125,1.0625,1.0,2022-01-13
Isaiah Joe,0.43684210526315775,3.073684210526316,1.3999999999999997,0.33684210526315783,-0.03157894736842103,-0.13157894736842105,0.7631578947368421,1.3,2.5421052631578953,-0.09473684210526319,0.13684210526315796,1.0,2022-01-13
Isaiah Livers,0.0,1.86,0.0,0.0,0.38,0.07,1.0,0.93,2.0,0.10333333333333333,0.20666666666666667,1.0,2022-01-13
Isaiah Roby,0.4571428571428572,7.128571428571428,4.3,0.9857142857142857,0.7714285714285714,0.7285714285714286,1.0857142857142859,2.7428571428571424,5.8428571428571425,1.1857142857142857,1.6285714285714288,1.0,2022-01-13
Isaiah Stewart,0.4560975609756097,10.292682926829265,10.614634146341462,1.1000000000000003,0.8341463414634145,0.7658536585365854,1.121951219512195,4.368292682926829,8.080487804878048,1.1000000000000003,1.6000000000000003,1.0,2022-01-13
Isaiah Thomas,2.18125,13.19375,1.46875,2.7875,0.7875,0.0062500000000000056,2.38125,4.70625,10.7125,1.6,1.9375,1.0,2022-01-13
Isaiah Todd,1.16875,4.61875,1.0,-0.028125,1.225,-0.05625,-0.028125,1.1125,2.084375,1.225,2.45,1.0,2022-01-13
Ish Smith,0.6317073170731707,6.956097560975608,2.163414634146341,2.9658536585365853,0.5,0.13414634146341467,0.602439024390244,2.7634146341463413,6.526829268292683,0.6317073170731707,0.9317073170731708,1.0,2022-01-13
